2082001,Pasang Tamang,student,kalanki,tinkune,15,2025-10-29, 10:57:18
2082001,Pasang,student,kalanki,Chabahil,22.5,2025-10-29, 11:01:28
2082001,Pasang,student,Satdobato,Koteshwor,5,2025-10-30, 08:14:14
2082002,Pasang Dorje Tamang,student,balaju,Sinamangal,12.5,2025-12-03, 21:06:42
2082003,pasang tamang,student,balkhu,Ekantakuna,2.5,2025-12-13, 17:25:09
2082001,Pasang,student,balaju,balkhu,27.5,2025-12-27, 12:26:07
2082001,pasdang,normal,kalanki,balkhu,5,2025-12-27, 13:21:29
2082002,jdaslkfja,normal,kalanki,balkhu,5,2025-12-27, 13:43:26
2082002,jdaslkfja,normal,kalanki,Maharajgunj,55,2025-12-27, 13:46:05
2082001,pasdang,normal,kalanki,Maharajgunj,55,2025-12-27, 13:46:36
2082001,pasdang,normal,kalanki,Maharajgunj,55,2025-12-27, 13:47:04
2082001,pasang,normal,kalanki,Maharajgunj,55,2025-12-27, 13:47:51
2082002,dskfadskf,normal,kalanki,balkhu,5,2025-12-27, 16:04:29
